league,split,patch,t1_playerid,t1_result,t2_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_champion,t1p2_champion,t1p3_champion,t1p4_champion,t1p5_champion,t2p1_champion,t2p2_champion,t2p3_champion,t2p4_champion,t2p5_champion
LCS.A,Spring,10.01,Evil Geniuses Academy,0,Dignitas Academy,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,Akali,Rumble,Lucian,Pantheon,Renekton,Nautilus,Aphelios,Ornn,Lee Sin,Kennen,Thresh,Miss Fortune,Zoe,Elise,Aatrox
LCS.A,Spring,10.01,Cloud9 Academy,1,Team Liquid Academy,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,Akali,Lucian,Elise,Ryze,Pantheon,Thresh,Varus,Rumble,Rek'Sai,Ornn,Leona,Aphelios,Cassiopeia,Jarvan IV,Mordekaiser
LCS.A,Spring,10.01,TSM Academy,0,Immortals Academy,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,Rumble,Akali,Lucian,Cassiopeia,Zoe,Leona,Aphelios,LeBlanc,Gragas,Aatrox,Braum,Ezreal,Nautilus,Lee Sin,Urgot
LCS.A,Spring,10.01,FlyQuest Academy,1,CLG Academy,Elise,Lucian,Aphelios,Mordekaiser,Ryze,Akali,Cassiopeia,Senna,Varus,Fiora,Thresh,Kai'Sa,Rumble,Qiyana,Aatrox,Nautilus,Miss Fortune,Orianna,Jarvan IV,Ornn
LCS.A,Spring,10.01,Golden Guardians Academy,1,100 Thieves Academy,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,Akali,Rumble,Lucian,Mordekaiser,Lissandra,Braum,Aphelios,Ryze,Lee Sin,Aatrox,Tahm Kench,Senna,LeBlanc,Rek'Sai,Camille
LCS,Spring,10.01,Cloud9,1,Team Liquid,Irelia,Ornn,Lucian,Ekko,Orianna,Akali,Qiyana,Rumble,Zoe,LeBlanc,Tahm Kench,Aphelios,Veigar,Lee Sin,Aatrox,Thresh,Senna,Azir,Jarvan IV,Mordekaiser
LCS,Spring,10.01,Counter Logic Gaming,0,Dignitas,Irelia,Qiyana,Gangplank,Aphelios,Varus,Akali,Lucian,Rumble,LeBlanc,Kennen,Leona,Senna,Cassiopeia,Rek'Sai,Ornn,Tahm Kench,Ashe,Viktor,Elise,Renekton
LCS,Spring,10.01,100 Thieves,1,Golden Guardians,Qiyana,Rumble,Senna,Vladimir,Lee Sin,Akali,Lucian,Aphelios,Lissandra,Elise,Leona,Miss Fortune,Zoe,Gragas,Gangplank,Braum,Varus,LeBlanc,Jarvan IV,Ornn
LCS,Spring,10.01,Immortals,0,FlyQuest,Rumble,Elise,Braum,Camille,Tahm Kench,Akali,Ornn,Qiyana,LeBlanc,Gragas,Thresh,Cassiopeia,Lucian,Trundle,Aatrox,Blitzcrank,Senna,Viktor,Lee Sin,Riven
LCS.A,Spring,10.01,Golden Guardians Academy,1,Cloud9 Academy,Elise,Qiyana,Irelia,Thresh,Cassiopeia,Akali,Lucian,Rumble,Yasuo,LeBlanc,Braum,Aphelios,Viktor,Lee Sin,Mordekaiser,Zilean,Miss Fortune,Orianna,Olaf,Ornn
LCS,Spring,10.01,Dignitas,1,Evil Geniuses,Qiyana,Irelia,Ornn,Jarvan IV,LeBlanc,Rumble,Akali,Lucian,Elise,Olaf,Braum,Senna,Orianna,Lee Sin,Gangplank,Tahm Kench,Aphelios,Azir,Gragas,Aatrox
LCS,Spring,10.01,Team SoloMid,0,Immortals,Irelia,Mordekaiser,Cassiopeia,Aphelios,Pantheon,Akali,Qiyana,Lucian,Olaf,Camille,Tahm Kench,Senna,LeBlanc,Lee Sin,Rumble,Braum,Ezreal,Zoe,Elise,Aatrox
LCS,Spring,10.01,Golden Guardians,0,Cloud9,Elise,Irelia,Lucian,LeBlanc,Gangplank,Akali,Rumble,Qiyana,Vladimir,Orianna,Tahm Kench,Senna,Diana,Rek'Sai,Aatrox,Nautilus,Aphelios,Zoe,Lee Sin,Camille
LCS,Spring,10.01,FlyQuest,1,Counter Logic Gaming,Lucian,Elise,Qiyana,LeBlanc,Ornn,Akali,Riven,Lee Sin,Thresh,Orianna,Leona,Aphelios,Rumble,Rek'Sai,Aatrox,Nautilus,Senna,Zoe,Jarvan IV,Camille
LCS.A,Spring,10.01,CLG Academy,0,Dignitas Academy,Mordekaiser,Tahm Kench,Jarvan IV,Zoe,Orianna,Akali,Rumble,Lucian,Pantheon,LeBlanc,Nautilus,Draven,Irelia,Elise,Ornn,Thresh,Miss Fortune,Sylas,Olaf,Aatrox
LCS.A,Spring,10.01,FlyQuest Academy,1,Immortals Academy,Ornn,Mordekaiser,Lee Sin,LeBlanc,Urgot,Rumble,Akali,Lucian,Qiyana,Renekton,Blitzcrank,Miss Fortune,Azir,Elise,Aatrox,Tahm Kench,Senna,Viktor,Jarvan IV,Pantheon
LCS.A,Spring,10.01,Evil Geniuses Academy,0,100 Thieves Academy,LeBlanc,Azir,Renekton,Irelia,Leona,Akali,Rumble,Senna,Varus,Thresh,Rakan,Xayah,Mordekaiser,Lee Sin,Lucian,Braum,Aphelios,Pantheon,Elise,Aatrox
LCS.A,Spring,10.01,Team Liquid Academy,0,TSM Academy,Qiyana,LeBlanc,Elise,Ryze,Ornn,Akali,Rumble,Lucian,Rakan,Orianna,Nautilus,Aphelios,Zoe,Jarvan IV,Kennen,Braum,Senna,Cassiopeia,Lee Sin,Aatrox
LCS,Spring,10.01,Evil Geniuses,1,100 Thieves,Gangplank,Rumble,Lucian,Elise,Gragas,Akali,Aphelios,Qiyana,Jarvan IV,Zoe,Tahm Kench,Senna,LeBlanc,Lee Sin,Mordekaiser,Rakan,Xayah,Ryze,Olaf,Aatrox
LCS,Spring,10.01,Team Liquid,1,Team SoloMid,Lucian,Qiyana,Aphelios,Irelia,LeBlanc,Rumble,Akali,Senna,Vladimir,Aatrox,Rakan,Xayah,Orianna,Jarvan IV,Ornn,Leona,Miss Fortune,Zilean,Elise,Gangplank
LCS.A,Spring,10.02,CLG Academy,0,100 Thieves Academy,Soraka,Pantheon,Elise,LeBlanc,Syndra,Akali,Sett,Rumble,Mordekaiser,Ryze,Braum,Miss Fortune,Lucian,Jarvan IV,Vladimir,Lulu,Aphelios,Orianna,Lee Sin,Ornn
LCS.A,Spring,10.02,Cloud9 Academy,1,FlyQuest Academy,Elise,Soraka,Lucian,Gragas,Azir,Akali,Rumble,Sett,Rek'Sai,Olaf,Nautilus,Aphelios,Syndra,Xin Zhao,Ornn,Thresh,Miss Fortune,LeBlanc,Lee Sin,Mordekaiser
LCS.A,Spring,10.02,Dignitas Academy,1,Team Liquid Academy,Jarvan IV,Syndra,Aphelios,Miss Fortune,LeBlanc,Akali,Elise,Lucian,Gragas,Rek'Sai,Tahm Kench,Senna,Rumble,Olaf,Sett,Nautilus,Varus,Viktor,Lee Sin,Kennen
LCS.A,Spring,10.02,Immortals Academy,1,Golden Guardians Academy,Olaf,Rumble,Ornn,Leona,Mordekaiser,Akali,Lucian,Elise,Thresh,Nautilus,Rakan,Xayah,Syndra,Lee Sin,Pantheon,Senna,Soraka,Orianna,Jarvan IV,Sett
LCS.A,Spring,10.02,Evil Geniuses Academy,1,TSM Academy,Mordekaiser,Lucian,Sett,LeBlanc,Cassiopeia,Rumble,Akali,Syndra,Jarvan IV,Gragas,Tahm Kench,Senna,Pantheon,Elise,Ornn,Braum,Aphelios,Orianna,Lee Sin,Aatrox
LCS,Spring,10.02,Counter Logic Gaming,0,100 Thieves,Elise,Senna,Gangplank,Syndra,Gragas,Akali,Rumble,Tahm Kench,LeBlanc,Diana,Leona,Aphelios,Lucian,Rek'Sai,Kayle,Rakan,Xayah,Zoe,Jarvan IV,Sett
LCS,Spring,10.02,Dignitas,1,Team Liquid,Ornn,Tahm Kench,Sett,LeBlanc,Syndra,Rumble,Lucian,Akali,Elise,Gragas,Thresh,Aphelios,Orianna,Jarvan IV,Gangplank,Nautilus,Senna,Ryze,Lee Sin,Aatrox
LCS,Spring,10.02,Cloud9,1,Immortals,Soraka,Lucian,Sett,Renekton,Aphelios,Akali,Braum,Rumble,Ornn,Aatrox,Tahm Kench,Senna,Pantheon,Elise,Gangplank,Thresh,Cassiopeia,Yasuo,Gragas,Karma
LCS,Spring,10.02,Evil Geniuses,0,Golden Guardians,Elise,Gangplank,Rumble,Taliyah,Gragas,Akali,Lucian,Senna,Jarvan IV,LeBlanc,Tahm Kench,Sona,Orianna,Rek'Sai,Aatrox,Nautilus,Aphelios,Syndra,Lee Sin,Fiora
LCS.A,Spring,10.02,Cloud9 Academy,0,Immortals Academy,Elise,Soraka,Pantheon,Urgot,Ornn,Akali,Rumble,Lucian,Rek'Sai,Olaf,Nautilus,Aphelios,Yasuo,Gragas,Sett,Leona,Syndra,Kled,Lee Sin,Nocturne
LCS,Spring,10.02,Team Liquid,1,FlyQuest,Qiyana,Blitzcrank,Rumble,Thresh,Aatrox,Akali,Sett,Tahm Kench,LeBlanc,Ekko,Braum,Aphelios,Zoe,Jarvan IV,Ornn,Rakan,Senna,Syndra,Lee Sin,Mordekaiser
LCS,Spring,10.02,Evil Geniuses,0,Team SoloMid,Elise,Gangplank,Rumble,Zilean,Qiyana,Akali,Tahm Kench,Jarvan IV,Syndra,Lee Sin,Thresh,Aphelios,LeBlanc,Kindred,Aatrox,Rakan,Xayah,Zoe,Gragas,Sett
LCS,Spring,10.02,100 Thieves,0,Cloud9,Elise,Tahm Kench,Rumble,Syndra,Zoe,Akali,Sett,Lucian,Xayah,Aphelios,Leona,Miss Fortune,LeBlanc,Jarvan IV,Aatrox,Nautilus,Senna,Morgana,Lee Sin,Camille
LCS,Spring,10.02,Immortals,1,Golden Guardians,Irelia,Elise,Kayle,Fiora,Camille,Akali,Lucian,Rumble,Zoe,Jarvan IV,Rakan,Xayah,Syndra,Rek'Sai,Sett,Tahm Kench,Senna,LeBlanc,Lee Sin,Soraka
LCS.A,Spring,10.02,100 Thieves Academy,1,Team Liquid Academy,Jarvan IV,Rumble,Tahm Kench,Ryze,Ornn,Lucian,Elise,Senna,Olaf,Aatrox,Rakan,Xayah,Akali,Rek'Sai,Mordekaiser,Thresh,Aphelios,Sylas,Lee Sin,Sett
LCS.A,Spring,10.02,FlyQuest Academy,0,Dignitas Academy,Elise,Tahm Kench,Syndra,Olaf,Gragas,Akali,Rumble,Sett,Azir,Qiyana,Blitzcrank,Aphelios,Lissandra,Rek'Sai,Ornn,Thresh,Senna,LeBlanc,Lee Sin,Aatrox
LCS.A,Spring,10.02,Golden Guardians Academy,0,Evil Geniuses Academy,Elise,Senna,Ornn,LeBlanc,Ekko,Akali,Rumble,Lucian,Rek'Sai,Braum,Thresh,Aphelios,Syndra,Lee Sin,Aatrox,Nautilus,Miss Fortune,Zoe,Jarvan IV,Sett
LCS.A,Spring,10.02,TSM Academy,1,CLG Academy,Elise,Senna,Sett,Gragas,Orianna,Akali,Rumble,Soraka,Leona,Braum,Nautilus,Aphelios,Syndra,Jarvan IV,Gangplank,Rakan,Xayah,LeBlanc,Trundle,Ornn
LCS,Spring,10.02,FlyQuest,1,Dignitas,Lucian,Elise,Tahm Kench,Syndra,Orianna,Akali,Blitzcrank,Riven,Nautilus,Leona,Alistar,Senna,Rumble,Jarvan IV,Aatrox,Thresh,Aphelios,Ekko,Lee Sin,Sett
LCS,Spring,10.02,Team SoloMid,1,Counter Logic Gaming,Lucian,Jarvan IV,Lee Sin,Mordekaiser,Aatrox,Akali,Rumble,Sett,Gragas,Elise,Rakan,Xayah,Syndra,Qiyana,Ornn,Tahm Kench,Senna,LeBlanc,Olaf,Sylas
LCS.A,Spring,10.02,Evil Geniuses Academy,0,CLG Academy,Elise,Gragas,Lucian,Rek'Sai,Mordekaiser,Akali,Rumble,Sett,LeBlanc,Orianna,Tahm Kench,Senna,Zoe,Jarvan IV,Ornn,Thresh,Aphelios,Syndra,Lee Sin,Gangplank
LCS.A,Spring,10.02,Team Liquid Academy,0,FlyQuest Academy,Elise,Lucian,Aphelios,LeBlanc,Camille,Akali,Rumble,Sett,Lee Sin,Olaf,Tahm Kench,Varus,Yasuo,Sejuani,Soraka,Braum,Miss Fortune,Azir,Jarvan IV,Irelia
LCS.A,Spring,10.02,Golden Guardians Academy,0,TSM Academy,Elise,Senna,Lucian,Zoe,Orianna,Akali,Sett,Rumble,Mordekaiser,Aatrox,Thresh,Syndra,Cassiopeia,Lee Sin,Gangplank,Nautilus,Aphelios,Viktor,Jarvan IV,Ornn
LCS.A,Spring,10.02,Immortals Academy,1,100 Thieves Academy,Elise,Aphelios,Lucian,Mordekaiser,Aatrox,Akali,Senna,Rumble,Diana,Jarvan IV,Leona,Miss Fortune,Zoe,Rek'Sai,Sett,Rakan,Xayah,Syndra,Lee Sin,Gangplank
LCS.A,Spring,10.02,Dignitas Academy,1,Cloud9 Academy,Elise,Aphelios,Lucian,Ornn,Yasuo,Olaf,Akali,Sett,Renekton,Lee Sin,Thresh,Miss Fortune,Rumble,Jarvan IV,Aatrox,Tahm Kench,Senna,Qiyana,Gragas,Gangplank
LCS,Spring,10.02,Evil Geniuses,0,Counter Logic Gaming,Gangplank,Lucian,Rumble,Kayle,Mordekaiser,Akali,Tahm Kench,LeBlanc,Lee Sin,Gragas,Rakan,Xayah,Orianna,Elise,Sett,Nautilus,Aphelios,Syndra,Jarvan IV,Soraka
LCS,Spring,10.02,100 Thieves,1,Team Liquid,Rumble,Jarvan IV,Xayah,Elise,LeBlanc,Akali,Sett,Lucian,Qiyana,Braum,Thresh,Aphelios,Orianna,Gragas,Aatrox,Tahm Kench,Senna,Syndra,Lee Sin,Gangplank
LCS,Spring,10.02,Team SoloMid,1,Dignitas,Lucian,Gangplank,Tahm Kench,Renekton,Pantheon,Akali,Rumble,Xayah,Jarvan IV,LeBlanc,Leona,Miss Fortune,Syndra,Sett,Irelia,Braum,Aphelios,Vel'Koz,Elise,Kennen
LCS,Spring,10.02,Cloud9,1,FlyQuest,Riven,Lucian,Blitzcrank,Syndra,Orianna,Akali,Sett,Elise,Camille,LeBlanc,Nautilus,Aphelios,Qiyana,Gragas,Rumble,Tahm Kench,Senna,Diana,Jarvan IV,Aatrox
LCS.A,Spring,10.02,100 Thieves Academy,1,Cloud9 Academy,Elise,Thresh,Rumble,Gragas,Olaf,Akali,Syndra,Senna,Jarvan IV,Rek'Sai,Rakan,Xayah,Orianna,Sett,Aatrox,Leona,Aphelios,LeBlanc,Lee Sin,Mordekaiser
LCS,Spring,10.02,Immortals,1,100 Thieves,Lucian,Aatrox,Xayah,Yasuo,Zoe,Akali,Rumble,Sett,LeBlanc,Ornn,Braum,Aphelios,Syndra,Rek'Sai,Cho'Gath,Thresh,Senna,Orianna,Gragas,Gangplank
LCS,Spring,10.02,Golden Guardians,0,Team SoloMid,Syndra,Irelia,Gangplank,LeBlanc,Camille,Akali,Rumble,Sett,Lee Sin,Elise,Thresh,Aphelios,Zoe,Jarvan IV,Aatrox,Rakan,Xayah,Ornn,Gragas,Qiyana
LCS,Spring,10.02,Dignitas,0,Cloud9,Elise,Sett,Irelia,Gragas,LeBlanc,Rumble,Lucian,Akali,Jarvan IV,Olaf,Tahm Kench,Senna,Orianna,Rek'Sai,Gangplank,Nautilus,Aphelios,Zoe,Lee Sin,Aatrox
LCS,Spring,10.02,FlyQuest,0,Evil Geniuses,Tahm Kench,Soraka,Lucian,LeBlanc,Syndra,Akali,Rumble,Sett,Riven,Orianna,Nautilus,Aphelios,Zoe,Lee Sin,Camille,Rakan,Xayah,Malzahar,Jarvan IV,Aatrox
LCS.A,Spring,10.02,TSM Academy,0,Dignitas Academy,Syndra,Tahm Kench,Aatrox,LeBlanc,Qiyana,Akali,Rumble,Sett,Nautilus,Braum,Rakan,Aphelios,Zoe,Lee Sin,Ornn,Thresh,Senna,Ekko,Rek'Sai,Mordekaiser
LCS.A,Spring,10.02,CLG Academy,0,Immortals Academy,Elise,Soraka,Sett,Yasuo,Braum,Akali,Aphelios,Rumble,Jarvan IV,Rek'Sai,Nautilus,Miss Fortune,Syndra,Lee Sin,Gangplank,Rakan,Xayah,Ornn,Gragas,Lucian
LCS.A,Spring,10.02,FlyQuest Academy,0,Evil Geniuses Academy,Olaf,Thresh,Sett,Ornn,LeBlanc,Akali,Rumble,Lucian,Aphelios,Pantheon,Tahm Kench,Senna,Syndra,Elise,Aatrox,Nautilus,Miss Fortune,Orianna,Jarvan IV,Gangplank
LCS.A,Spring,10.02,Team Liquid Academy,1,Golden Guardians Academy,Syndra,Sett,Elise,Jarvan IV,Olaf,Akali,Rumble,Lucian,Yasuo,Thresh,Nautilus,Miss Fortune,Ornn,Gragas,Aatrox,Braum,Aphelios,Mordekaiser,Rek'Sai,Gangplank
LCS,Spring,10.02,Team Liquid,0,Golden Guardians,Lucian,Soraka,Sett,Syndra,Mordekaiser,Akali,Xayah,Aphelios,LeBlanc,Gangplank,Galio,Senna,Rumble,Jarvan IV,Kennen,Thresh,Miss Fortune,Zoe,Lee Sin,Aatrox
LCS,Spring,10.02,Counter Logic Gaming,0,Immortals,Gragas,Rek'Sai,Sett,Qiyana,Rakan,Akali,Aphelios,Jarvan IV,Zoe,Braum,Leona,Miss Fortune,Rumble,Lee Sin,Aatrox,Nautilus,Xayah,Azir,Elise,Ornn
LCS.A,Spring,10.03,Golden Guardians Academy,1,CLG Academy,Elise,Yuumi,Soraka,Viktor,Cassiopeia,Syndra,Rumble,Lucian,Jarvan IV,Galio,Rakan,Xayah,Azir,Sejuani,Sett,Braum,Aphelios,Orianna,Gragas,Ornn
LCS.A,Spring,10.03,Dignitas Academy,1,100 Thieves Academy,Elise,Lucian,Sett,Gragas,Sejuani,Tahm Kench,Syndra,Thresh,Leona,Nautilus,Rakan,Aphelios,Rumble,Rek'Sai,Aatrox,Senna,Ornn,Azir,Olaf,Renekton
LCS.A,Spring,10.03,Evil Geniuses Academy,0,Cloud9 Academy,Elise,Lucian,Gragas,LeBlanc,Akali,Rumble,Sett,Soraka,Mordekaiser,Syndra,Rakan,Xayah,Orianna,Jarvan IV,Gangplank,Thresh,Aphelios,Zoe,Rek'Sai,Ornn
LCS.A,Spring,10.03,TSM Academy,1,FlyQuest Academy,Elise,Jarvan IV,Syndra,Azir,LeBlanc,Rumble,Sett,Pantheon,Qiyana,Lucian,Nautilus,Aphelios,Zoe,Gragas,Camille,Braum,Miss Fortune,Orianna,Rek'Sai,Aatrox
LCS.A,Spring,10.03,Team Liquid Academy,1,Immortals Academy,Senna,Pantheon,Syndra,Xayah,Ezreal,Aphelios,Elise,Kalista,Jarvan IV,Karthus,Nautilus,Miss Fortune,Ornn,Rek'Sai,Soraka,Sett,Varus,Mordekaiser,Lee Sin,Tristana
LCS,Spring,10.03,Team Liquid,0,Immortals,Sett,Syndra,Miss Fortune,Gragas,Elise,Aphelios,Xayah,Aatrox,Olaf,LeBlanc,Taric,Kalista,Ryze,Lee Sin,Ornn,Nautilus,Ezreal,Cassiopeia,Sejuani,Gangplank
LCS,Spring,10.03,Cloud9,1,Team SoloMid,Syndra,Xayah,Ornn,Yasuo,Pantheon,Rumble,Aphelios,Soraka,Lee Sin,Olaf,Tahm Kench,Varus,Qiyana,Elise,Sett,Nautilus,Miss Fortune,Renekton,Gragas,Akali
LCS,Spring,10.03,Counter Logic Gaming,0,Golden Guardians,Qiyana,Lee Sin,Aphelios,Zoe,Elise,Rumble,Syndra,Soraka,LeBlanc,Olaf,Yuumi,Ezreal,Neeko,Trundle,Aatrox,Nautilus,Kai'Sa,Cassiopeia,Sejuani,Sett
LCS,Spring,10.03,100 Thieves,0,Dignitas,Rumble,Elise,Lucian,LeBlanc,Braum,Aatrox,Xayah,Irelia,Jarvan IV,Zoe,Nautilus,Aphelios,Ryze,Lee Sin,Sett,Leona,Miss Fortune,Ornn,Olaf,Soraka
LCS.A,Spring,10.03,TSM Academy,0,Cloud9 Academy,Elise,Gragas,Rumble,LeBlanc,Soraka,Aphelios,Sett,Ornn,Xayah,Camille,Nautilus,Varus,Syndra,Jarvan IV,Gangplank,Thresh,Miss Fortune,Zoe,Rek'Sai,Aatrox
LCS,Spring,10.03,Dignitas,0,Golden Guardians,Lee Sin,Sett,Aatrox,Cassiopeia,Syndra,Rumble,Soraka,Lucian,LeBlanc,Nautilus,Leona,Miss Fortune,Orianna,Elise,Gangplank,Thresh,Aphelios,Diana,Jarvan IV,Ornn
LCS,Spring,10.03,Counter Logic Gaming,0,Team Liquid,Xayah,Ornn,Miss Fortune,LeBlanc,Qiyana,Yuumi,Aphelios,Soraka,Olaf,Rumble,Nautilus,Kai'Sa,Yasuo,Gragas,Sett,Tahm Kench,Varus,Vladimir,Sejuani,Mordekaiser
LCS,Spring,10.03,Team SoloMid,0,FlyQuest,Riven,Soraka,Jarvan IV,Olaf,Zoe,Sett,Rumble,Lucian,Gragas,LeBlanc,Braum,Aphelios,Taliyah,Pantheon,Aatrox,Yuumi,Miss Fortune,Syndra,Lee Sin,Ornn
LCS,Spring,10.03,Evil Geniuses,1,Immortals,Soraka,Nautilus,Xayah,Syndra,Leona,Aphelios,Sett,Aatrox,Mordekaiser,Sivir,Yuumi,Lucian,LeBlanc,Lee Sin,Renekton,Braum,Ezreal,Corki,Rek'Sai,Ornn
LCS.A,Spring,10.03,FlyQuest Academy,0,100 Thieves Academy,Elise,Olaf,Syndra,Renekton,LeBlanc,Rumble,Rek'Sai,Lee Sin,Gragas,Jarvan IV,Rakan,Xayah,Lucian,Karthus,Sett,Nautilus,Aphelios,Cassiopeia,Sejuani,Aatrox
LCS.A,Spring,10.03,Evil Geniuses Academy,0,Immortals Academy,Syndra,Sett,Lee Sin,LeBlanc,Pantheon,Rumble,Ornn,Aphelios,Soraka,Orianna,Yuumi,Ezreal,Malzahar,Olaf,Aatrox,Leona,Miss Fortune,Zoe,Elise,Nocturne
LCS.A,Spring,10.03,Dignitas Academy,0,Golden Guardians Academy,Lucian,Soraka,Olaf,Azir,Ezreal,Syndra,Sett,Elise,Nautilus,Thresh,Galio,Senna,Rumble,Sejuani,Aatrox,Yuumi,Aphelios,Cassiopeia,Jarvan IV,Ornn
LCS.A,Spring,10.03,CLG Academy,0,Team Liquid Academy,Ornn,Soraka,Karthus,Aatrox,Sett,Lucian,Yuumi,Gangplank,Senna,Miss Fortune,Galio,Ezreal,Rumble,Rek'Sai,Cassiopeia,Nautilus,Aphelios,Zoe,Jarvan IV,Mordekaiser
LCS,Spring,10.03,FlyQuest,1,100 Thieves,Soraka,Senna,Sett,Gragas,LeBlanc,Rumble,Yuumi,Riven,Lee Sin,Olaf,Thresh,Aphelios,Syndra,Trundle,Ornn,Rakan,Xayah,Zoe,Sejuani,Aatrox
LCS,Spring,10.03,Evil Geniuses,0,Cloud9,Elise,Nautilus,Tahm Kench,Qiyana,Yasuo,Aphelios,Sett,Yuumi,Olaf,LeBlanc,Rakan,Xayah,Rumble,Jarvan IV,Renekton,Leona,Miss Fortune,Cassiopeia,Gragas,Aatrox
LCS.A,Spring,10.03,FlyQuest Academy,0,Golden Guardians Academy,Soraka,Aphelios,Syndra,Thresh,Rakan,Karthus,Yuumi,Ziggs,Olaf,Trundle,Braum,Varus,Azir,Kindred,Ornn,Sett,Miss Fortune,Viktor,Sejuani,Gangplank
LCS.A,Spring,10.03,100 Thieves Academy,0,TSM Academy,Elise,Zoe,Nautilus,Thresh,Senna,Ornn,Aphelios,Olaf,Aatrox,Syndra,Yuumi,Miss Fortune,Azir,Sejuani,Renekton,Braum,Varus,Soraka,Trundle,Sett
LCS.A,Spring,10.03,Dignitas Academy,1,Immortals Academy,Yuumi,Lucian,Aphelios,LeBlanc,Sejuani,Aatrox,Rumble,Thresh,Trundle,Olaf,Tahm Kench,Varus,Syndra,Jarvan IV,Soraka,Blitzcrank,Miss Fortune,Ornn,Elise,Pantheon
LCS.A,Spring,10.03,Evil Geniuses Academy,1,Team Liquid Academy,Kennen,Soraka,Yuumi,Jarvan IV,Lee Sin,Senna,Rumble,Leona,Ziggs,Olaf,Braum,Aphelios,Zoe,Sejuani,Sett,Nautilus,Miss Fortune,Viktor,Karthus,Ornn
LCS.A,Spring,10.03,Cloud9 Academy,1,CLG Academy,Yuumi,Soraka,Rumble,Syndra,Jarvan IV,Thresh,Sett,Senna,Lucian,Zoe,Nautilus,Miss Fortune,Cassiopeia,Rek'Sai,Ornn,Galio,Aphelios,Orianna,Karthus,Gangplank
LCS,Spring,10.03,100 Thieves,0,Team SoloMid,Senna,Soraka,Sett,Jarvan IV,Sejuani,Aphelios,Yuumi,Ornn,Elise,Trundle,Nautilus,Miss Fortune,LeBlanc,Gragas,Aatrox,Rakan,Xayah,Syndra,Lee Sin,Kennen
LCS,Spring,10.03,Cloud9,1,Counter Logic Gaming,Ornn,Yuumi,Soraka,Sejuani,LeBlanc,Senna,Aphelios,Elise,Qiyana,Zoe,Tahm Kench,Varus,Rumble,Lee Sin,Sett,Braum,Miss Fortune,Azir,Gragas,Aatrox
LCS,Spring,10.03,Dignitas,1,Immortals,Xayah,Ezreal,Yuumi,Aatrox,Syndra,Rumble,Soraka,Sett,Olaf,LeBlanc,Thresh,Aphelios,Orianna,Jarvan IV,Mordekaiser,Nautilus,Miss Fortune,Corki,Sejuani,Ornn
LCS,Spring,10.03,FlyQuest,1,Golden Guardians,Yuumi,Soraka,Ornn,LeBlanc,Gragas,Riven,Syndra,Aphelios,Sejuani,Azir,Rakan,Xayah,Orianna,Rek'Sai,Sett,Thresh,Miss Fortune,Zoe,Lee Sin,Aatrox
LCS.A,Spring,10.03,CLG Academy,0,FlyQuest Academy,Sett,Aphelios,Yuumi,Gragas,Rumble,Syndra,Olaf,Soraka,LeBlanc,Trundle,Rakan,Xayah,Ornn,Karthus,Cassiopeia,Nautilus,Miss Fortune,Zoe,Sejuani,Aatrox
LCS,Spring,10.03,Evil Geniuses,1,Team Liquid,Varus,Xayah,Aatrox,Cassiopeia,Syndra,Aphelios,Yuumi,Soraka,Olaf,Lee Sin,Braum,Ezreal,Zoe,Sejuani,Ornn,Tahm Kench,Ashe,Viktor,Elise,Sett
LCS,Spring,10.03,Immortals,0,Cloud9,Nautilus,Mordekaiser,Rumble,Aatrox,LeBlanc,Aphelios,Soraka,Ornn,Sejuani,Gragas,Rakan,Xayah,Orianna,Elise,Sett,Tahm Kench,Senna,Zoe,Lee Sin,Vladimir
LCS,Spring,10.03,Golden Guardians,0,100 Thieves,Xayah,Aatrox,Soraka,Jarvan IV,Renekton,Aphelios,Ornn,Sett,LeBlanc,Orianna,Yuumi,Ezreal,Zoe,Olaf,Gangplank,Nautilus,Miss Fortune,Syndra,Gragas,Lucian
LCS,Spring,10.03,FlyQuest,1,Counter Logic Gaming,Soraka,Lucian,Miss Fortune,Braum,Tahm Kench,Yuumi,Aphelios,Ornn,Rumble,Zoe,Rakan,Xayah,Corki,Trundle,Sett,Thresh,Varus,Azir,Sejuani,Aatrox
LCS.A,Spring,10.03,TSM Academy,0,Evil Geniuses Academy,Senna,Yuumi,Aatrox,Nautilus,Leona,Aphelios,Soraka,LeBlanc,Ezreal,Varus,Braum,Sivir,Zoe,Sejuani,Ornn,Thresh,Miss Fortune,Viktor,Trundle,Sett
LCS.A,Spring,10.03,Team Liquid Academy,1,Dignitas Academy,Rumble,Sett,Thresh,Sejuani,Qiyana,Aphelios,Soraka,Yuumi,Mordekaiser,Aatrox,Braum,Miss Fortune,Zoe,Gragas,Gangplank,Tahm Kench,Varus,Syndra,Jarvan IV,Ornn
