league,split,patch,t1_playerid,t1_result,t2_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_champion,t1p2_champion,t1p3_champion,t1p4_champion,t1p5_champion,t2p1_champion,t2p2_champion,t2p3_champion,t2p4_champion,t2p5_champion
LCS.A,Summer,10.13,Golden Guardians Academy,1,Team Liquid Academy,Kennen,Kalista,Olaf,Thresh,Ornn,Ezreal,Varus,Trundle,Bard,Tahm Kench,Karma,Ashe,Twisted Fate,Graves,Gangplank,Braum,Aphelios,Orianna,Volibear,Vladimir
LCS.A,Summer,10.13,100 Thieves Academy,1,Cloud9 Academy,Trundle,Syndra,Graves,Wukong,Maokai,Varus,Kalista,Twisted Fate,Urgot,LeBlanc,Nautilus,Ezreal,Azir,Volibear,Aatrox,Karma,Senna,Corki,Sett,Camille
LCS.A,Summer,10.13,TSM Academy,1,Immortals Academy,Tahm Kench,Twisted Fate,Kassadin,Ornn,Malphite,Trundle,Ezreal,Graves,Camille,Aatrox,Nautilus,Kalista,Orianna,Olaf,Jayce,Braum,Varus,Azir,Volibear,Gangplank
LCS.A,Summer,10.13,CLG Academy,1,Evil Geniuses Academy,Karma,Aphelios,Rumble,Azir,Orianna,Trundle,Twisted Fate,Graves,Jarvan IV,Nocturne,Blitzcrank,Kalista,Galio,Sett,Ornn,Thresh,Varus,Corki,Volibear,Gangplank
LCS,Summer,10.13,Immortals,0,Dignitas,Twisted Fate,Kalista,Volibear,Bard,Orianna,Ezreal,Varus,Trundle,Urgot,Malphite,Karma,Aphelios,Syndra,Sett,Aatrox,Thresh,Ashe,Azir,Graves,Ornn
LCS,Summer,10.13,FlyQuest,0,100 Thieves,Twisted Fate,Graves,Aphelios,Lee Sin,Thresh,Varus,Trundle,Volibear,Ornn,Bard,Rakan,Ezreal,Orianna,Olaf,Renekton,Sett,Kalista,Syndra,Nidalee,Jayce
LCS,Summer,10.13,Cloud9,1,Team SoloMid,Graves,Trundle,Kalista,Thresh,Tahm Kench,Twisted Fate,Olaf,Yuumi,Lee Sin,Jayce,Senna,Wukong,Azir,Sett,Ornn,Bard,Varus,LeBlanc,Volibear,Mordekaiser
LCS,Summer,10.13,Team Liquid,1,Counter Logic Gaming,Gangplank,Volibear,Wukong,LeBlanc,Bard,Aphelios,Twisted Fate,Trundle,Olaf,Thresh,Tahm Kench,Varus,Azir,Lee Sin,Shen,Karma,Ezreal,Syndra,Sett,Ornn
LCS,Summer,10.13,Dignitas,1,FlyQuest,Trundle,Orianna,Ezreal,Gangplank,Rakan,Twisted Fate,Aphelios,Wukong,Olaf,Graves,Thresh,Varus,Azir,Lee Sin,Ornn,Nautilus,Kalista,Kassadin,Volibear,Sett
LCS,Summer,10.13,Team SoloMid,0,Immortals,Malphite,Ezreal,Karma,Orianna,LeBlanc,Twisted Fate,Syndra,Varus,Bard,Braum,Tahm Kench,Aphelios,Zilean,Trundle,Wukong,Thresh,Ashe,Corki,Graves,Ornn
LCS,Summer,10.13,100 Thieves,1,Cloud9,Kalista,Twisted Fate,Ezreal,Orianna,Azir,Graves,LeBlanc,Syndra,Thresh,Malphite,Karma,Ashe,Galio,Olaf,Camille,Senna,Wukong,Cassiopeia,Jarvan IV,Jayce
LCS,Summer,10.13,Team Liquid,1,Golden Guardians,Volibear,Ashe,Varus,Sett,Gangplank,Twisted Fate,Trundle,Azir,Thresh,Nautilus,Bard,Aphelios,LeBlanc,Lee Sin,Ornn,Karma,Ezreal,Lissandra,Olaf,Kayle
LCS,Summer,10.13,Counter Logic Gaming,1,Evil Geniuses,LeBlanc,Aphelios,Yuumi,Bard,Jayce,Twisted Fate,Ornn,Karma,Thresh,Sett,Morgana,Kalista,Azir,Volibear,Gangplank,Braum,Ezreal,Ekko,Trundle,Riven
LCS.A,Summer,10.14,Team Liquid Academy,0,Evil Geniuses Academy,Karma,Kalista,Irelia,Mordekaiser,Bard,Kennen,Volibear,Twisted Fate,Trundle,Galio,Senna,Sett,Syndra,Kha'Zix,Wukong,Braum,Ezreal,Zoe,Olaf,Poppy
LCS.A,Summer,10.14,TSM Academy,1,100 Thieves Academy,Twisted Fate,Karma,Wukong,Thresh,Camille,Kalista,Graves,Zoe,Gangplank,Jayce,Bard,Ezreal,Orianna,Trundle,Ornn,Rakan,Ashe,Syndra,Rek'Sai,Volibear
LCS.A,Summer,10.14,Cloud9 Academy,1,FlyQuest Academy,Karthus,Olaf,Ashe,Azir,Corki,Twisted Fate,Volibear,Kalista,Camille,Gangplank,Leona,Ezreal,Galio,Kha'Zix,Ornn,Nautilus,Kai'Sa,Kassadin,Sett,Wukong
LCS.A,Summer,10.14,Golden Guardians Academy,1,Immortals Academy,Graves,Kalista,Olaf,Ornn,Galio,Trundle,Ezreal,Wukong,Kindred,Aatrox,Karma,Aphelios,Twisted Fate,Sett,Gangplank,Nautilus,Ashe,Sylas,Volibear,Cho'Gath
LCS.A,Summer,10.14,Dignitas Academy,0,CLG Academy,Syndra,Karma,Trundle,Jayce,Draven,Kalista,Twisted Fate,Sett,Ornn,Orianna,Senna,Wukong,Lucian,Olaf,Kennen,Pantheon,Caitlyn,Galio,Vi,Malphite
LCS.A,Summer,10.14,100 Thieves Academy,1,Team Liquid Academy,Kennen,Sett,Trundle,Irelia,Wukong,Twisted Fate,Kalista,Graves,Syndra,Rumble,Karma,Ezreal,Orianna,Olaf,Camille,Thresh,Ashe,Kog'Maw,Volibear,Gangplank
LCS.A,Summer,10.14,Immortals Academy,0,CLG Academy,Trundle,Pantheon,Wukong,Kai'Sa,Rakan,Twisted Fate,Kalista,Karma,Gangplank,Mordekaiser,Braum,Ezreal,Morgana,Olaf,Kayle,Galio,Jhin,Orianna,Vi,Ornn
LCS.A,Summer,10.14,Dignitas Academy,0,Golden Guardians Academy,Karma,Syndra,Ezreal,Gangplank,Renekton,Kalista,Karthus,Twisted Fate,Jayce,Kennen,Senna,Wukong,Lucian,Gragas,Sett,Thresh,Ashe,Galio,Volibear,Aatrox
LCS.A,Summer,10.14,Evil Geniuses Academy,0,Cloud9 Academy,Syndra,Kha'Zix,Volibear,Ornn,Camille,Ezreal,Olaf,Trundle,Wukong,Tahm Kench,Braum,Ashe,Twisted Fate,Graves,Jayce,Thresh,Kalista,Sylas,Sett,Malphite
LCS.A,Summer,10.14,FlyQuest Academy,1,TSM Academy,Graves,Kalista,Aphelios,Ornn,Gangplank,Ezreal,Twisted Fate,Kog'Maw,Kassadin,Corki,Tahm Kench,Ashe,LeBlanc,Volibear,Sett,Rakan,Xayah,Orianna,Trundle,Aatrox
LCS,Summer,10.14,Team SoloMid,1,100 Thieves,Karma,Ezreal,Kalista,Malphite,Thresh,Twisted Fate,Ornn,Volibear,Braum,Nautilus,Leona,Aphelios,LeBlanc,Graves,Jayce,Lulu,Ashe,Syndra,Olaf,Wukong
LCS,Summer,10.14,Team Liquid,1,Evil Geniuses,Rumble,Ashe,Ezreal,Wukong,Gangplank,Twisted Fate,Ornn,Aphelios,Thresh,Taric,Bard,Kalista,Azir,Lee Sin,Mordekaiser,Braum,Senna,Orianna,Sett,Karma
LCS,Summer,10.14,Counter Logic Gaming,0,Dignitas,LeBlanc,Azir,Karma,Thresh,Kennen,Twisted Fate,Volibear,Syndra,Malphite,Yuumi,Nautilus,Ezreal,Zoe,Graves,Ornn,Bard,Ashe,Orianna,Sett,Riven
LCS,Summer,10.14,Evil Geniuses,1,Cloud9,Olaf,LeBlanc,Twisted Fate,Jayce,Thresh,Ezreal,Karma,Rumble,Blitzcrank,Nautilus,Alistar,Aphelios,Zoe,Volibear,Gangplank,Bard,Ashe,Syndra,Lee Sin,Sett
LCS,Summer,10.14,FlyQuest,1,Team SoloMid,Twisted Fate,LeBlanc,Aphelios,Wukong,Tahm Kench,Ezreal,Trundle,Karma,Thresh,Sett,Pantheon,Ashe,Syndra,Volibear,Renekton,Braum,Senna,Orianna,Olaf,Ornn
LCS,Summer,10.14,Golden Guardians,1,Immortals,Orianna,Graves,Ezreal,Azir,Thresh,Karma,Olaf,Volibear,Nidalee,Lee Sin,Bard,Aphelios,Twisted Fate,Sett,Gangplank,Morgana,Ashe,Karthus,Trundle,Ornn
LCS,Summer,10.14,100 Thieves,0,Team Liquid,Kalista,Azir,Aphelios,Syndra,LeBlanc,Olaf,Nidalee,Twisted Fate,Kayle,Camille,Karma,Ashe,Orianna,Lee Sin,Jayce,Bard,Ezreal,Zoe,Graves,Ornn
LCS,Summer,10.14,Cloud9,1,FlyQuest,Volibear,Karma,Aphelios,Azir,Renekton,Twisted Fate,Olaf,Lee Sin,Jayce,Zoe,Thresh,Kalista,Galio,Sett,Kayle,Pantheon,Ezreal,Orianna,Trundle,Ornn
LCS,Summer,10.14,Counter Logic Gaming,0,Immortals,Orianna,Ashe,Karma,Yuumi,Rakan,Twisted Fate,Kalista,Syndra,Sylas,Gangplank,Thresh,Aphelios,Azir,Volibear,Camille,Braum,Ezreal,Kog'Maw,Graves,Ornn
LCS,Summer,10.14,Golden Guardians,1,Dignitas,Azir,Graves,Karma,Riven,Thresh,Twisted Fate,Volibear,Ashe,Camille,Malphite,Yuumi,Ezreal,Galio,Olaf,Kennen,Lulu,Kog'Maw,Zoe,Trundle,Wukong
LCS.A,Summer,10.14,100 Thieves Academy,1,CLG Academy,Galio,Ornn,Volibear,Wukong,Karthus,Twisted Fate,Karma,Kalista,Jayce,,Yuumi,Ezreal,Azir,Graves,Aatrox,Lulu,Jhin,Rumble,Sett,Gangplank
LCS.A,Summer,10.14,Cloud9 Academy,1,Team Liquid Academy,Olaf,Kennen,Trundle,Vladimir,Malphite,Kalista,Ezreal,Thresh,Karma,Bard,Blitzcrank,Senna,Twisted Fate,Volibear,Wukong,Tahm Kench,Ashe,Sylas,Sett,Gangplank
LCS.A,Summer,10.14,Evil Geniuses Academy,1,Immortals Academy,Syndra,Azir,Graves,Galio,Zoe,Trundle,Twisted Fate,Kalista,Wukong,Irelia,Nautilus,Aphelios,Karma,Nidalee,Volibear,Bard,Ezreal,Orianna,Olaf,Ornn
LCS.A,Summer,10.14,TSM Academy,0,Dignitas Academy,Ashe,Wukong,LeBlanc,Camille,Malphite,Kalista,Karma,Twisted Fate,Ornn,Thresh,Braum,Aphelios,Zoe,Graves,Jayce,Bard,Ezreal,Galio,Kha'Zix,Poppy
LCS.A,Summer,10.14,FlyQuest Academy,0,Golden Guardians Academy,Galio,Karma,Gangplank,Kassadin,Malphite,Kalista,Karthus,Twisted Fate,Rumble,Nidalee,Pantheon,Jhin,Zoe,Volibear,Wukong,Thresh,Ashe,Syndra,Graves,Maokai
LCS.A,Summer,10.14,Immortals Academy,0,Cloud9 Academy,Kalista,Trundle,Wukong,Camille,Thresh,Ezreal,Olaf,Volibear,Ornn,Mordekaiser,Pantheon,Jhin,Twisted Fate,Kha'Zix,Kennen,Rakan,Ashe,Galio,Sett,Sylas
LCS.A,Summer,10.14,TSM Academy,1,CLG Academy,Galio,Ornn,Wukong,Ashe,Thresh,Kalista,Twisted Fate,Karma,Ryze,Aatrox,Bard,Ezreal,Cassiopeia,Trundle,Irelia,Rakan,Jhin,Rumble,Sett,Vladimir
LCS.A,Summer,10.14,Dignitas Academy,1,Evil Geniuses Academy,Volibear,Twisted Fate,Irelia,Sylas,Thresh,Kalista,Bard,Karma,Graves,Kha'Zix,Braum,Ashe,LeBlanc,Lee Sin,Ornn,Morgana,Aphelios,Galio,Trundle,Sett
LCS.A,Summer,10.14,Team Liquid Academy,0,FlyQuest Academy,Karthus,Twisted Fate,Kalista,Braum,Zoe,Olaf,Kennen,Volibear,Nidalee,Kassadin,Nautilus,Kai'Sa,Kog'Maw,Sett,Gangplank,Karma,Ezreal,Azir,Trundle,Wukong
LCS.A,Summer,10.14,Golden Guardians Academy,0,100 Thieves Academy,Kalista,Galio,Nidalee,Orianna,Thresh,Twisted Fate,Ezreal,Volibear,Azir,Wukong,Karma,Senna,Zoe,Olaf,Ornn,Lulu,Ashe,Syndra,Kindred,Sett
LCS,Summer,10.14,Evil Geniuses,1,Immortals,Ornn,Ezreal,Karma,Thresh,Morgana,Rumble,LeBlanc,Twisted Fate,Bard,Syndra,Alistar,Aphelios,Zoe,Volibear,Gangplank,Braum,Ashe,Azir,Graves,Urgot
LCS,Summer,10.14,Team Liquid,0,FlyQuest,Pantheon,Trundle,Karma,Olaf,Syndra,Twisted Fate,Aphelios,Azir,Jayce,LeBlanc,Bard,Ezreal,Zoe,Volibear,Kennen,Rakan,Ashe,Orianna,Sett,Renekton
LCS,Summer,10.14,100 Thieves,1,Counter Logic Gaming,Ornn,Ezreal,Twisted Fate,Corki,Kalista,Olaf,Aphelios,Karma,Jayce,Camille,Thresh,Ashe,Galio,Graves,Wukong,Bard,Xayah,Orianna,Sett,Kennen
LCS,Summer,10.14,Team SoloMid,1,Dignitas,Azir,Graves,Karma,Riven,Irelia,Olaf,Volibear,Twisted Fate,Galio,Orianna,Rakan,Xayah,Syndra,Sett,Wukong,Tahm Kench,Ashe,Ekko,Karthus,Jayce
LCS,Summer,10.14,FlyQuest,1,Golden Guardians,Twisted Fate,Olaf,Karma,Bard,Camille,Pantheon,Trundle,Orianna,Renekton,Jayce,Rakan,Aphelios,Azir,Sett,Ornn,Nautilus,Ezreal,Galio,Volibear,Kennen
